date,campaign_id,impressions,clicks,spend,conversions
2026-06-20,T-3002,19169,403,116.4,400
2026-06-21,T-3002,17248,367,91.61,406
2026-06-22,T-3002,26289,426,134.55,416
2026-06-23,T-3002,25293,532,135.91,424
2026-06-24,T-3002,27808,590,156.61,431
2026-06-25,T-3002,25610,473,133.19,447
2026-06-26,T-3002,25715,540,137.0,453
2026-06-27,T-3002,18661,350,99.67,457
2026-06-28,T-3002,18682,358,96.12,463
2026-06-29,T-3002,35940,683,185.3,471
2026-06-30,T-3002,31716,608,170.04,481
2026-07-01,T-3002,30229,621,182.98,490
2026-07-02,T-3002,33439,661,185.75,497
2026-07-03,T-3002,22948,373,130.94,504
2026-07-04,T-3002,22150,377,126.5,509
2026-07-05,T-3002,22784,414,123.87,517
2026-07-06,T-3002,34155,634,175.18,528
2026-07-07,T-3002,32057,688,192.17,540
2026-07-08,T-3002,33993,662,174.42,546
2026-07-09,T-3002,30421,630,185.47,558
2026-07-10,T-3002,33215,555,172.46,571
2026-07-11,T-3002,21529,449,118.81,579
2026-07-12,T-3002,22743,432,128.8,584
2026-07-13,T-3002,25699,426,150.24,588
2026-07-14,T-3002,25266,463,148.16,603
2026-07-15,T-3002,34254,621,200.62,614
2026-07-16,T-3002,27248,505,166.43,622
2026-07-17,T-3002,32174,522,178.82,633
2026-07-18,T-3002,21591,374,124.78,639
2026-07-19,T-3002,21212,358,110.48,649
2026-07-20,T-3002,28394,465,170.65,652
2026-07-21,T-3002,26107,559,153.69,659
2026-07-22,T-3002,24625,524,147.23,664
2026-07-23,T-3002,27789,474,142.49,673
2026-07-24,T-3002,25845,426,130.26,678
2026-07-25,T-3002,23880,454,126.64,686
2026-07-26,T-3002,16348,337,98.1,694
2026-07-27,T-3002,29587,553,157.32,704
2026-07-28,T-3002,29326,538,148.35,711
2026-07-29,T-3002,34759,662,204.25,721
2026-07-30,T-3002,29408,571,173.67,735
2026-07-31,T-3002,27672,498,138.83,742
2026-05-01,T-3003,15546,257,77.97,2
2026-05-02,T-3003,11564,211,66.38,4
2026-05-03,T-3003,12896,223,72.03,6
2026-05-04,T-3003,19434,284,101.51,10
2026-05-05,T-3003,19872,327,106.29,12
2026-05-06,T-3003,15970,247,82.69,15
2026-05-07,T-3003,16465,279,83.19,17
2026-05-08,T-3003,19757,326,100.79,20
2026-05-09,T-3003,13884,197,70.45,24
2026-05-10,T-3003,13070,197,71.69,27
2026-05-11,T-3003,15209,206,90.84,29
2026-05-12,T-3003,15271,268,80.02,31
2026-05-13,T-3003,18540,301,111.63,32
2026-05-14,T-3003,18453,338,95.43,35
2026-05-15,T-3003,16940,267,93.44,39
2026-05-16,T-3003,10703,166,56.85,41
2026-05-17,T-3003,9681,172,58.67,42
2026-05-18,T-3003,19107,330,99.89,45
2026-05-19,T-3003,20054,344,113.27,47
2026-05-20,T-3003,19160,291,99.92,50
2026-05-21,T-3003,17494,319,94.29,53
2026-05-22,T-3003,16972,261,93.02,56
2026-05-23,T-3003,11090,150,64.16,59
2026-05-24,T-3003,12426,172,62.43,63
2026-05-25,T-3003,13601,207,77.73,66
2026-05-26,T-3003,18121,308,108.21,68
2026-05-27,T-3003,21619,390,109.33,72
2026-05-28,T-3003,17047,245,89.2,72
2026-05-29,T-3003,18524,254,93.89,74
2026-05-30,T-3003,12100,206,68.79,76
2026-05-31,T-3003,14386,211,72.55,76
2026-06-01,T-3003,13975,245,80.57,77
2026-06-02,T-3003,16646,293,90.6,78
2026-06-03,T-3003,17608,263,89.74,80
2026-06-04,T-3003,21099,372,106.12,84
2026-06-05,T-3003,15768,282,82.04,86
2026-06-06,T-3003,12754,182,69.85,88
2026-06-07,T-3003,10549,188,59.42,89
2026-06-08,T-3003,18585,300,104.75,93
2026-06-09,T-3003,21789,329,115.63,99
2026-06-10,T-3003,21926,356,111.58,100
2026-06-11,T-3003,14281,233,85.01,101
2026-06-12,T-3003,13111,189,76.15,104
2026-06-13,T-3003,14766,247,76.79,107
2026-06-14,T-3003,13864,243,77.0,110
2026-06-15,T-3003,17209,315,101.94,117
2026-06-16,T-3003,18755,340,94.35,120
2026-06-17,T-3003,19473,268,103.02,121
2026-06-18,T-3003,16655,270,101.72,124
2026-06-19,T-3003,18994,295,102.24,126
2026-06-20,T-3003,13601,230,81.09,130
2026-06-21,T-3003,10604,168,62.02,134
2026-06-22,T-3003,15619,254,83.95,139
2026-06-23,T-3003,15013,225,86.19,143
2026-06-24,T-3003,22661,415,114.94,144
2026-06-25,T-3003,18556,253,109.47,149
2026-06-26,T-3003,15407,239,77.9,149
2026-06-27,T-3003,12240,174,73.71,151
2026-06-28,T-3003,13874,198,70.31,157
2026-06-29,T-3003,18240,281,110.35,162
2026-06-30,T-3003,16995,282,90.87,168
2026-07-01,T-3003,15632,254,92.22,171
2026-07-02,T-3003,18506,266,108.49,174
2026-07-03,T-3003,15192,251,88.89,176
2026-07-04,T-3003,10927,154,59.67,177
2026-07-05,T-3003,14930,257,78.25,182
2026-07-06,T-3003,20398,286,103.68,183
2026-07-07,T-3003,21821,319,112.58,186
2026-07-08,T-3003,22416,319,121.63,190
2026-07-09,T-3003,20090,308,116.59,194
2026-07-10,T-3003,15507,217,92.63,196
2026-07-11,T-3003,11675,202,69.03,201
2026-07-12,T-3003,15651,271,80.71,203
2026-07-13,T-3003,17371,292,102.45,210
2026-07-14,T-3003,19359,344,107.17,216
2026-07-15,T-3003,23297,396,119.65,221
2026-07-16,T-3003,23403,361,119.72,223
2026-07-17,T-3003,15442,256,81.62,223
2026-07-18,T-3003,12650,231,69.42,227
2026-07-19,T-3003,15955,262,80.27,228
2026-07-20,T-3003,17532,269,105.66,230
2026-07-21,T-3003,17611,254,92.02,234
2026-07-22,T-3003,18465,335,107.05,240
2026-07-23,T-3003,19630,339,111.16,242
2026-07-24,T-3003,18177,284,103.14,247
2026-07-25,T-3003,13522,198,81.97,251
2026-07-26,T-3003,11794,182,65.8,253
2026-07-27,T-3003,16087,227,89.42,257
2026-07-28,T-3003,19012,330,109.96,260
2026-07-29,T-3003,19995,326,106.34,262
2026-07-30,T-3003,20873,318,124.7,266
2026-07-31,T-3003,15287,279,87.12,269
