lead_id,created_at,brand,utm_source,utm_medium,utm_campaign,lead_status,deal_amount_usd
L-76347,2026-05-13 14:20:00,AUR,,,,MQL,
L-72829,2026-05-18 22:20:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-71246,2026-05-26 13:21:00,AUR,,,,SQL,
L-77376,2026-07-17 10:54:00,AUR,adwords,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-76425,2026-05-22 18:35:00,AUR,,,,Lead,
L-80377,2026-05-08 20:26:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-72190,2026-05-13 20:01:00,AUR,,,,Lead,
L-80291,2026-07-21 11:12:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-74255,2026-06-28 17:13:00,PKF,facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-80737,2026-07-02 15:09:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-76517,2026-06-03 08:48:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,Closed Won,5200
L-80463,2026-05-20 11:12:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-77926,2026-06-10 15:05:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-72814,2026-05-16 11:09:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Closed Won,3600
L-73628,2026-07-11 16:31:00,PKF,,,,Lead,
L-76367,2026-05-15 21:21:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,Closed Won,2400
L-71211,2026-05-22 08:48:00,AUR,facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-72992,2026-05-28 18:21:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-70401,2026-06-12 22:55:00,AUR,Facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-71611,2026-06-24 22:29:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-70658,2026-07-08 08:05:00,AUR,,,,Lead,
L-76919,2026-07-22 13:26:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-77033,2026-05-08 20:48:00,AUR,,,,MQL,
L-76159,2026-07-18 18:31:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-79032,2026-05-14 18:24:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-80953,2026-07-29 20:45:00,PKF,,,,MQL,
L-71403,2026-06-07 14:04:00,AUR,facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,SQL,
L-71747,2026-07-03 17:46:00,AUR,facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-70183,2026-05-21 18:57:00,AUR,,,,MQL,
L-82226,2026-07-28 16:06:00,PKF,google,paid_social,(not set),Lead,
L-72234,2026-05-24 09:12:00,AUR,,,,Lead,
L-79996,2026-05-17 17:30:00,AUR,tiktok,paid_social,AUR_TikTok_Prospecting_2026Q2,MQL,
L-78641,2026-05-10 17:46:00,PKF,google,cpc,pkf|nonbrand|search|may26,MQL,
L-75525,2026-05-10 10:50:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-75037,2026-06-26 19:19:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76020,2026-07-01 12:46:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-72593,2026-05-03 20:24:00,PKF,,,,SQL,
L-74743,2026-05-29 17:10:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-81209,2026-05-02 19:22:00,PKF,google,paid_social,(not set),Closed Won,8800
L-80566,2026-06-06 22:39:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-72057,2026-07-25 19:16:00,AUR,meta,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-81850,2026-06-26 13:27:00,PKF,google,paid_social,(not set),Lead,
L-81944,2026-07-05 15:27:00,PKF,,,,Closed Won,5200
L-78647,2026-05-11 15:03:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,Lead,
L-74848,2026-06-09 21:44:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-71191,2026-05-22 09:52:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Closed Won,2400
L-73810,2026-07-26 09:02:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,Closed Won,1900
L-81608,2026-06-06 19:06:00,PKF,google,paid_social,(not set),Lead,
L-71265,2026-05-27 19:15:00,AUR,Facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,MQL,
L-78157,2026-06-28 14:05:00,PKF,,,,Closed Won,5200
L-77410,2026-07-23 13:31:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-82247,2026-07-30 15:44:00,PKF,google,paid_social,(not set),MQL,
L-71094,2026-05-10 12:05:00,AUR,Facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-81891,2026-06-30 16:46:00,PKF,google,paid_social,(not set),Lead,
L-71267,2026-05-27 14:32:00,AUR,,,,Lead,
L-78983,2026-05-06 16:36:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-77716,2026-05-23 21:58:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-80495,2026-05-26 18:30:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78721,2026-05-30 08:01:00,PKF,google,cpc,pkf|nonbrand|search|may26,Closed Won,5200
L-79418,2026-07-01 15:58:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-75663,2026-05-26 20:57:00,NMB,,,,MQL,
L-73716,2026-07-17 20:24:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-76493,2026-05-31 12:27:00,AUR,,,,Lead,
L-70058,2026-05-08 16:06:00,AUR,,,,Lead,
L-74211,2026-06-22 21:55:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-80528,2026-05-29 21:33:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-78260,2026-07-04 11:26:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-75192,2026-07-11 13:49:00,NMB,,,,MQL,
L-76076,2026-07-09 22:06:00,NMB,,,,Lead,
L-70053,2026-05-06 09:15:00,AUR,,,,MQL,
L-76569,2026-06-11 19:58:00,AUR,,,,Lead,
L-70441,2026-06-16 15:47:00,AUR,,,,SQL,
L-79816,2026-07-17 13:04:00,NMB,Google Ads,cpc,NMB_US_PMax_2026Q2,SQL,
L-72426,2026-07-02 10:13:00,AUR,,,,Lead,
L-76169,2026-07-21 22:35:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-72714,2026-05-10 19:08:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-81601,2026-06-05 12:47:00,NMB,,,,Lead,
L-81745,2026-06-17 16:49:00,NMB,google,paid_social,(not set),SQL,
L-71952,2026-07-19 11:00:00,AUR,,,,MQL,
L-70797,2026-07-18 21:37:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-80799,2026-07-10 09:20:00,PKF,,,,MQL,
L-76775,2026-07-06 16:58:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-78604,2026-07-30 10:54:00,PKF,,,,SQL,
L-70503,2026-06-23 13:41:00,AUR,fb,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-73039,2026-05-31 19:37:00,PKF,,,,MQL,
L-82075,2026-07-15 16:12:00,AUR,,,,MQL,
L-81782,2026-06-21 14:09:00,PKF,,,,Lead,
L-75619,2026-05-20 15:28:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-71076,2026-05-11 19:49:00,AUR,,,,Lead,
L-75470,2026-05-05 13:17:00,NMB,Facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-77659,2026-05-18 20:29:00,PKF,,,,MQL,
L-81001,2026-05-15 09:46:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,MQL,
L-75304,2026-07-21 13:03:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,SQL,
L-77652,2026-05-17 14:29:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-74936,2026-06-19 10:09:00,NMB,,,,Lead,
L-70561,2026-06-26 12:15:00,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-79665,2026-07-31 08:22:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-73924,2026-05-08 08:39:00,PKF,fb,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-79434,2026-07-01 17:26:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-80530,2026-05-30 12:52:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78615,2026-05-02 08:28:00,PKF,Google Ads,cpc,pkf|nonbrand|search|may26,Closed Won,8800
L-76565,2026-06-10 10:39:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-73664,2026-07-14 21:41:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-79233,2026-06-04 16:18:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-72837,2026-05-18 17:37:00,PKF,,,,Lead,
L-73560,2026-07-07 20:42:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,MQL,
L-80815,2026-07-12 20:44:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-79973,2026-05-08 22:59:00,AUR,,,,Lead,
L-77726,2026-05-23 20:44:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-77096,2026-05-21 11:32:00,AUR,,,,Lead,
L-80403,2026-05-12 22:50:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,SQL,
L-76162,2026-07-18 14:53:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-79666,2026-07-31 15:18:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-74198,2026-06-19 22:26:00,PKF,fb,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-81158,2026-07-21 12:11:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-74860,2026-06-10 20:41:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-81877,2026-06-29 23:22:00,PKF,google,paid_social,(not set),Closed Won,5200
L-70484,2026-06-19 15:59:00,AUR,,,,Lead,
L-74669,2026-05-23 13:09:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-77508,2026-05-05 13:52:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-74213,2026-06-23 08:55:00,PKF,,,,Lead,
L-80666,2026-06-24 09:34:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78683,2026-05-22 12:37:00,PKF,Google Ads,cpc,pkf|nonbrand|search|may26,MQL,
L-74139,2026-06-09 15:51:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-71675,2026-06-28 17:19:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-79043,2026-05-15 21:26:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-80986,2026-05-08 16:32:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-71612,2026-06-23 12:28:00,AUR,,,,Lead,
L-78674,2026-05-19 15:36:00,PKF,google,cpc,pkf|nonbrand|search|may26,MQL,
L-72713,2026-05-09 17:14:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,MQL,
L-72416,2026-06-30 11:58:00,AUR,,,,Lead,
L-80408,2026-05-13 10:42:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-79966,2026-05-08 13:03:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-72444,2026-07-07 15:38:00,AUR,facebook,paid_social,aurelia|prospecting|meta|may26,MQL,
L-74706,2026-05-26 19:36:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-72064,2026-07-27 18:18:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-71423,2026-06-09 11:52:00,AUR,Facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,MQL,
L-80091,2026-06-08 08:30:00,AUR,,,,Lead,
L-79674,2026-05-06 10:13:00,NMB,adwords,cpc,NMB_US_PMax_2026Q2,SQL,
L-75036,2026-06-28 15:42:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-75931,2026-06-23 16:11:00,NMB,Facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-70348,2026-06-05 13:37:00,AUR,fb,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-74810,2026-06-05 21:42:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-74677,2026-05-23 10:18:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76026,2026-07-04 21:33:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-75008,2026-06-26 21:57:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-81055,2026-06-08 15:59:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-79151,2026-05-27 13:03:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-81716,2026-06-15 14:22:00,PKF,google,paid_social,(not set),Lead,
L-79159,2026-05-27 13:11:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-78588,2026-07-30 19:47:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-77964,2026-06-13 21:17:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-77333,2026-07-11 22:41:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-72582,2026-05-02 18:09:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-75819,2026-06-12 13:29:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-78579,2026-07-28 15:48:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-71665,2026-06-28 08:55:00,AUR,,,,MQL,
L-77725,2026-05-23 10:55:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-70156,2026-05-19 11:30:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-74055,2026-05-28 18:06:00,PKF,,,,SQL,
L-72137,2026-07-30 15:45:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-74113,2026-06-07 09:17:00,PKF,fb,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-74544,2026-05-09 20:36:00,NMB,,,,MQL,
L-71597,2026-06-20 19:59:00,AUR,,,,Lead,
L-73944,2026-05-08 08:51:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-73601,2026-07-09 16:22:00,PKF,,,,Lead,
L-74472,2026-05-03 21:30:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-74310,2026-07-08 18:22:00,PKF,,,,Lead,
L-73590,2026-07-08 16:52:00,PKF,,,,MQL,
L-81604,2026-06-05 11:17:00,NMB,google,paid_social,(not set),Lead,
L-72158,2026-05-05 17:35:00,AUR,meta,paid_social,aurelia|prospecting|meta|may26,Lead,
L-79882,2026-05-28 18:20:00,AUR,,,,Lead,
L-71057,2026-05-09 21:25:00,AUR,,,,MQL,
L-80090,2026-06-08 20:07:00,AUR,tiktok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-79664,2026-07-29 22:44:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-81420,2026-05-21 19:53:00,AUR,google,paid_social,(not set),Closed Won,3600
L-81912,2026-07-01 12:01:00,NMB,google,paid_social,(not set),Lead,
L-71825,2026-07-07 13:10:00,AUR,,,,Lead,
L-70488,2026-06-22 08:54:00,AUR,meta,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-80849,2026-07-17 14:22:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78350,2026-07-10 12:01:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-72302,2026-06-10 18:19:00,AUR,paid_social,paid_social,aurelia|prospecting|meta|may26,Lead,
L-75425,2026-05-03 17:17:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-74042,2026-05-25 22:35:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-78427,2026-07-17 10:16:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-70799,2026-07-17 08:03:00,AUR,,,,Lead,
L-81136,2026-07-09 21:15:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-77128,2026-05-27 16:42:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-78176,2026-06-27 10:28:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-78633,2026-05-09 21:11:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,Closed Won,3600
L-71419,2026-06-07 17:15:00,AUR,,,,Lead,
L-76652,2026-06-19 10:11:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-76880,2026-07-20 17:25:00,AUR,,,,Lead,
L-78816,2026-07-01 09:06:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,SQL,
L-70158,2026-05-19 21:16:00,AUR,,,,Lead,
L-78703,2026-05-27 19:51:00,PKF,,,,Closed Won,5200
L-81606,2026-06-06 22:50:00,AUR,,,,Lead,
L-81688,2026-06-12 15:50:00,NMB,google,paid_social,(not set),Lead,
L-77320,2026-07-09 17:10:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-75922,2026-06-23 10:51:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-80962,2026-07-31 08:11:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78328,2026-07-08 15:55:00,PKF,,,,Lead,
L-73138,2026-06-06 10:56:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-72968,2026-05-26 17:39:00,PKF,,,,Lead,
L-78080,2026-06-20 20:42:00,PKF,,,,MQL,
L-71869,2026-07-12 08:22:00,AUR,facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,MQL,
L-71517,2026-06-17 15:16:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-73634,2026-07-13 17:02:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-70580,2026-07-01 10:10:00,AUR,,,,SQL,
L-76414,2026-05-21 08:41:00,AUR,,,,Lead,
L-72508,2026-07-19 16:55:00,AUR,,,,Lead,
L-76867,2026-07-17 16:35:00,AUR,,,,Lead,
L-71856,2026-07-09 10:42:00,AUR,,,,MQL,
L-76005,2026-07-01 08:56:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-77890,2026-06-05 11:51:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Closed Won,8800
L-71839,2026-07-09 13:35:00,AUR,,,,Lead,
L-71479,2026-06-13 19:00:00,AUR,,,,SQL,
L-71091,2026-05-12 21:31:00,AUR,Facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-76221,2026-07-25 17:48:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-73022,2026-05-31 21:49:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,Closed Won,5200
L-73164,2026-06-08 13:00:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-77950,2026-06-11 17:13:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-74507,2026-05-07 16:55:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-79784,2026-06-25 11:36:00,NMB,,,,MQL,
L-79563,2026-07-16 16:15:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-72262,2026-05-28 11:38:00,AUR,meta,paid_social,aurelia|prospecting|meta|may26,Lead,
L-76559,2026-06-09 18:56:00,AUR,,,,MQL,
L-80309,2026-07-26 10:13:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-77372,2026-07-17 19:02:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-71626,2026-06-23 08:43:00,AUR,,,,Lead,
L-75467,2026-05-05 10:44:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-72730,2026-05-10 18:45:00,PKF,,,,Lead,
L-73540,2026-07-05 14:02:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-71619,2026-06-24 13:19:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-75329,2026-07-22 19:42:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76410,2026-05-20 12:40:00,AUR,,,,Lead,
L-79942,2026-05-03 13:23:00,AUR,,,,Lead,
L-76074,2026-07-10 19:29:00,NMB,,,,SQL,
L-75719,2026-06-01 11:35:00,NMB,Facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-76263,2026-07-31 15:58:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-78621,2026-05-02 20:56:00,PKF,google,cpc,pkf|nonbrand|search|may26,MQL,
L-73399,2026-06-23 17:22:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,MQL,
L-78169,2026-06-27 12:50:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-73102,2026-06-04 15:22:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-72293,2026-06-05 17:18:00,AUR,fb,paid_social,aurelia|prospecting|meta|may26,MQL,
L-81388,2026-05-18 14:14:00,PKF,google,paid_social,(not set),Lead,
L-77933,2026-06-10 09:22:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-78660,2026-05-16 15:34:00,PKF,google,cpc,pkf|nonbrand|search|may26,Lead,
L-74984,2026-06-21 18:35:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-80038,2026-05-27 09:05:00,AUR,tiktok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-80891,2026-07-23 18:30:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Closed Won,1900
L-70014,2026-05-02 19:05:00,AUR,,,,MQL,
L-76616,2026-06-15 17:44:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-79968,2026-05-07 13:28:00,AUR,tiktok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-76448,2026-05-23 21:09:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,Closed Won,3600
L-78352,2026-07-10 18:03:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-75763,2026-06-06 21:07:00,NMB,Facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-77351,2026-07-14 13:23:00,AUR,,,,Lead,
L-73798,2026-07-25 10:57:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-80292,2026-07-21 16:19:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-73197,2026-06-09 21:08:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-81252,2026-05-06 17:22:00,AUR,google,paid_social,(not set),Lead,
L-77936,2026-06-08 19:42:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-74004,2026-05-19 12:25:00,PKF,facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
