date,campaign_id,impressions,clicks,cost,conversions
2026-06-19,G-2001,8437,386,177.91,9
2026-06-20,G-2001,6941,326,157.74,8
2026-06-21,G-2001,6104,285,147.69,6
2026-06-22,G-2001,8851,369,205.13,10
2026-06-23,G-2001,10051,368,221.68,9
2026-06-24,G-2001,9747,387,224.79,9
2026-06-25,G-2001,9694,397,227.5,11
2026-06-26,G-2001,8191,335,181.7,12
2026-06-27,G-2001,7011,310,160.92,11
2026-06-28,G-2001,7451,327,168.08,9
2026-06-29,G-2001,10242,479,220.1,13
2026-06-30,G-2001,9894,458,215.46,16
2026-07-01,G-2001,9049,380,207.41,13
2026-07-02,G-2001,8708,333,184.63,8
2026-07-03,G-2001,7769,312,174.64,7
2026-07-04,G-2001,6690,293,141.93,8
2026-07-05,G-2001,6898,300,153.73,6
2026-07-06,G-2001,9403,353,194.8,7
2026-07-07,G-2001,10919,427,231.17,11
2026-07-08,G-2001,10964,481,248.19,13
2026-07-09,G-2001,9479,440,207.95,10
2026-07-10,G-2001,9449,423,201.41,8
2026-07-11,G-2001,8185,307,175.7,8
2026-07-12,G-2001,8185,317,182.31,6
2026-07-13,G-2001,8639,376,204.13,8
2026-07-14,G-2001,9410,407,219.04,11
2026-07-15,G-2001,9991,394,217.39,9
2026-07-16,G-2001,8616,375,195.35,11
2026-07-17,G-2001,7299,327,168.6,12
2026-07-18,G-2001,6572,287,137.38,5
2026-07-19,G-2001,7840,336,169.53,6
2026-07-20,G-2001,9523,393,211.87,9
2026-07-21,G-2001,10224,429,222.3,11
2026-07-22,G-2001,10135,421,220.56,9
2026-07-23,G-2001,10432,442,225.75,8
2026-07-24,G-2001,9653,447,201.07,10
2026-07-25,G-2001,7786,358,164.93,10
2026-07-26,G-2001,7827,313,164.99,5
2026-07-27,G-2001,9721,354,220.11,6
2026-07-28,G-2001,10001,402,232.32,11
2026-07-29,G-2001,9930,415,227.35,9
2026-07-30,G-2001,9674,367,214.59,8
2026-07-31,G-2001,10031,419,235.41,8
2026-05-01,G-2002,6237,214,137.46,2
2026-05-02,G-2002,4650,171,104.63,2
2026-05-03,G-2002,4732,187,104.48,5
2026-05-04,G-2002,7284,292,151.39,6
2026-05-05,G-2002,8122,286,178.67,4
2026-05-06,G-2002,7715,284,170.56,5
2026-05-07,G-2002,7938,297,170.31,5
2026-05-08,G-2002,7063,264,150.38,6
2026-05-09,G-2002,5547,221,116.46,3
2026-05-10,G-2002,6523,231,141.38,5
2026-05-11,G-2002,7751,283,174.26,7
2026-05-12,G-2002,7562,257,167.44,6
2026-05-13,G-2002,7832,260,169.98,6
2026-05-14,G-2002,7175,246,150.48,4
2026-05-15,G-2002,6561,241,137.4,4
2026-05-16,G-2002,4329,183,101.97,1
2026-05-17,G-2002,5149,220,115.22,1
2026-05-18,G-2002,6403,250,146.07,2
2026-05-19,G-2002,7684,265,180.51,7
2026-05-20,G-2002,7787,292,175.79,8
2026-05-21,G-2002,5893,238,134.82,4
2026-05-22,G-2002,5299,194,123.9,5
2026-05-23,G-2002,4556,154,107.79,4
2026-05-24,G-2002,5480,192,122.63,3
2026-05-25,G-2002,8387,285,180.16,2
2026-05-26,G-2002,8244,286,185.37,2
2026-05-27,G-2002,7182,242,161.91,3
2026-05-28,G-2002,7909,273,168.0,3
2026-05-29,G-2002,7321,284,155.35,2
2026-05-30,G-2002,4678,190,101.22,1
2026-05-31,G-2002,4956,180,107.98,3
2026-06-01,G-2002,6659,241,144.53,6
2026-06-02,G-2002,7466,283,165.86,8
2026-06-03,G-2002,8108,328,171.55,9
2026-06-04,G-2002,6625,265,150.59,4
2026-06-05,G-2002,6528,262,137.63,5
2026-06-06,G-2002,5632,220,123.18,6
2026-06-07,G-2002,6126,203,133.24,3
2026-06-08,G-2002,6900,244,160.12,4
2026-06-09,G-2002,7514,273,175.13,4
2026-06-10,G-2002,9347,322,203.17,5
2026-06-11,G-2002,8046,294,168.44,3
2026-06-12,G-2002,5395,209,128.34,3
2026-06-13,G-2002,4854,201,115.99,4
2026-06-14,G-2002,5620,221,128.83,5
2026-06-15,G-2002,7739,293,173.36,7
2026-06-16,G-2002,8082,327,179.1,8
2026-06-17,G-2002,8824,350,201.52,3
2026-06-18,G-2002,8990,371,190.11,7
2026-06-19,G-2002,7040,275,155.61,6
2026-06-20,G-2002,5085,199,118.47,6
2026-06-21,G-2002,6103,260,132.88,6
2026-06-22,G-2002,7886,335,165.63,4
2026-06-23,G-2002,7986,331,178.25,8
2026-06-24,G-2002,8012,322,178.59,11
2026-06-25,G-2002,6785,249,152.05,2
2026-06-26,G-2002,6219,208,135.55,2
2026-06-27,G-2002,5978,220,132.48,6
2026-06-28,G-2002,6149,257,132.89,7
2026-06-29,G-2002,7073,279,161.58,4
2026-06-30,G-2002,8503,311,193.33,4
2026-07-01,G-2002,8410,316,198.72,5
2026-07-02,G-2002,7509,305,170.52,5
2026-07-03,G-2002,6098,226,131.86,3
2026-07-04,G-2002,5109,200,108.79,3
2026-07-05,G-2002,5179,201,119.25,3
2026-07-06,G-2002,7098,276,153.67,7
2026-07-07,G-2002,7741,262,168.53,5
2026-07-08,G-2002,8148,309,186.56,6
2026-07-09,G-2002,8631,358,187.09,9
2026-07-10,G-2002,8121,339,175.23,10
2026-07-11,G-2002,6237,234,135.46,5
2026-07-12,G-2002,6846,262,153.08,1
2026-07-13,G-2002,8270,342,186.85,4
2026-07-14,G-2002,7725,324,169.78,4
2026-07-15,G-2002,8217,333,173.12,3
2026-07-16,G-2002,6712,247,149.78,2
2026-07-17,G-2002,6384,249,141.88,3
2026-07-18,G-2002,5725,201,127.54,5
2026-07-19,G-2002,6078,241,139.42,5
2026-07-20,G-2002,7949,308,171.86,8
2026-07-21,G-2002,7946,290,177.97,6
2026-07-22,G-2002,7445,297,179.46,4
2026-07-23,G-2002,7376,307,166.33,4
2026-07-24,G-2002,7740,314,158.13,3
2026-07-25,G-2002,6799,254,138.69,5
2026-07-26,G-2002,6921,256,143.5,4
2026-07-27,G-2002,6930,237,151.37,5
2026-07-28,G-2002,7609,281,172.01,3
2026-07-29,G-2002,8426,313,196.64,5
2026-07-30,G-2002,8689,333,198.83,5
2026-07-31,G-2002,8467,305,191.01,3
2026-05-01,G-2003,8646,455,223.77,12
2026-05-02,G-2003,6455,328,161.43,7
2026-05-03,G-2003,7953,382,194.22,6
2026-05-04,G-2003,9880,474,228.77,13
2026-05-05,G-2003,11345,603,259.43,22
2026-05-06,G-2003,12473,636,288.26,22
2026-05-07,G-2003,10158,484,238.51,11
2026-05-08,G-2003,7909,358,187.46,10
2026-05-09,G-2003,6350,333,161.44,8
2026-05-10,G-2003,7513,348,173.62,10
2026-05-11,G-2003,10207,439,233.1,11
2026-05-12,G-2003,10869,497,252.44,13
2026-05-13,G-2003,11564,513,266.07,15
2026-05-14,G-2003,11525,492,265.89,16
2026-05-15,G-2003,8982,401,212.72,10
2026-05-16,G-2003,7660,356,191.48,7
2026-05-17,G-2003,8491,398,204.18,12
2026-05-18,G-2003,11102,545,284.05,17
2026-05-19,G-2003,11261,515,266.16,14
2026-05-20,G-2003,10387,504,239.54,14
2026-05-21,G-2003,9680,501,232.35,14
2026-05-22,G-2003,8238,371,208.31,13
2026-05-23,G-2003,6267,296,159.42,7
2026-05-24,G-2003,7772,418,185.03,12
2026-05-25,G-2003,10757,567,249.85,17
2026-05-26,G-2003,11818,573,269.15,14
2026-05-27,G-2003,10647,499,264.59,12
2026-05-28,G-2003,10947,535,275.95,16
2026-05-29,G-2003,8902,387,220.51,13
2026-05-30,G-2003,8282,365,209.82,14
2026-05-31,G-2003,10300,458,233.29,13
2026-06-01,G-2003,13367,564,306.46,18
2026-06-02,G-2003,13091,614,308.55,16
2026-06-03,G-2003,13911,690,321.54,19
2026-06-04,G-2003,11798,571,295.59,14
2026-06-05,G-2003,10712,579,255.45,13
2026-06-06,G-2003,8211,447,202.54,13
2026-06-07,G-2003,9538,463,232.59,12
2026-06-08,G-2003,12177,541,288.23,16
2026-06-09,G-2003,10919,528,249.8,17
2026-06-10,G-2003,10615,533,261.13,16
2026-06-11,G-2003,9978,492,241.64,19
2026-06-12,G-2003,8536,433,207.09,12
2026-06-13,G-2003,7967,426,190.65,12
2026-06-14,G-2003,9270,464,205.21,14
2026-06-15,G-2003,11736,514,259.99,18
2026-06-16,G-2003,14072,600,322.18,19
2026-06-17,G-2003,13182,550,323.91,16
2026-06-18,G-2003,11594,516,277.67,10
2026-06-19,G-2003,11207,521,264.98,10
2026-06-20,G-2003,8620,414,205.2,10
2026-06-21,G-2003,9812,489,231.14,15
2026-06-22,G-2003,12253,557,308.4,23
2026-06-23,G-2003,12965,616,318.54,16
2026-06-24,G-2003,11381,536,269.18,16
2026-06-25,G-2003,11191,602,257.8,21
2026-06-26,G-2003,9741,512,231.71,13
2026-06-27,G-2003,8093,375,199.48,11
2026-06-28,G-2003,9059,453,216.95,12
2026-06-29,G-2003,12560,682,294.87,15
2026-06-30,G-2003,11590,602,287.24,14
2026-07-01,G-2003,14238,676,319.45,21
2026-07-02,G-2003,13096,585,303.66,18
2026-07-03,G-2003,10437,513,259.78,19
2026-07-04,G-2003,7568,353,171.39,10
2026-07-05,G-2003,9543,500,222.94,13
2026-07-06,G-2003,12308,595,308.35,19
2026-07-07,G-2003,10367,465,265.74,12
2026-07-08,G-2003,10592,538,268.86,17
2026-07-09,G-2003,10826,583,265.52,20
2026-07-10,G-2003,8995,484,231.23,15
2026-07-11,G-2003,7591,390,189.53,11
2026-07-12,G-2003,9681,448,230.54,12
2026-07-13,G-2003,14289,668,316.53,14
2026-07-14,G-2003,14278,664,320.99,14
2026-07-15,G-2003,12671,554,300.98,13
2026-07-16,G-2003,12820,616,313.62,19
2026-07-17,G-2003,11104,567,254.67,15
2026-07-18,G-2003,10359,492,229.43,12
2026-07-19,G-2003,10072,516,231.21,12
2026-07-20,G-2003,13647,646,322.77,17
2026-07-21,G-2003,15156,680,353.66,20
2026-07-22,G-2003,13169,657,310.58,23
2026-07-23,G-2003,12938,629,295.47,21
2026-07-24,G-2003,9621,450,234.93,12
2026-07-25,G-2003,8179,367,197.83,8
2026-07-26,G-2003,10026,478,241.06,16
2026-07-27,G-2003,12089,603,315.19,17
2026-07-28,G-2003,12814,647,325.03,20
2026-07-29,G-2003,12987,643,313.27,19
2026-07-30,G-2003,11252,508,267.63,10
2026-07-31,G-2003,10508,501,254.12,12
2026-05-01,G-2004,4330,147,97.7,1
2026-05-02,G-2004,3699,138,86.01,2
2026-05-03,G-2004,4622,165,104.55,2
2026-05-04,G-2004,5331,197,125.62,2
2026-05-05,G-2004,5856,203,138.93,5
2026-05-06,G-2004,6155,229,140.64,6
2026-05-07,G-2004,6041,232,143.71,6
2026-05-08,G-2004,5095,180,123.91,3
2026-05-09,G-2004,3703,128,88.88,3
2026-05-10,G-2004,4523,139,103.85,4
2026-05-11,G-2004,6067,185,138.6,6
2026-05-12,G-2004,6079,201,138.06,3
2026-05-13,G-2004,5870,201,131.95,3
2026-05-14,G-2004,5247,168,125.43,2
2026-05-15,G-2004,4192,135,107.09,1
2026-05-16,G-2004,3836,136,89.07,2
2026-05-17,G-2004,4571,162,106.11,3
2026-05-18,G-2004,5591,207,138.8,4
2026-05-19,G-2004,5606,187,133.62,2
2026-05-20,G-2004,6264,214,144.45,3
2026-05-21,G-2004,4840,158,115.92,5
2026-05-22,G-2004,4323,155,101.92,4
2026-05-23,G-2004,3549,120,84.41,1
2026-05-24,G-2004,4865,166,110.86,5
2026-05-25,G-2004,5997,227,133.9,6
2026-05-26,G-2004,5730,203,135.62,4
2026-05-27,G-2004,6470,227,155.08,2
2026-05-28,G-2004,5415,176,131.46,4
2026-05-29,G-2004,4899,154,119.22,4
2026-05-30,G-2004,4773,155,106.05,2
2026-05-31,G-2004,4871,165,108.91,4
2026-06-01,G-2004,5360,185,129.05,3
2026-06-02,G-2004,5550,187,142.18,5
2026-06-03,G-2004,5954,224,146.44,5
2026-06-04,G-2004,5130,165,122.45,2
2026-06-05,G-2004,5195,155,120.24,3
2026-06-06,G-2004,3943,131,91.01,3
2026-06-07,G-2004,4856,170,111.56,1
2026-06-08,G-2004,6087,191,143.38,2
2026-06-09,G-2004,6277,199,148.97,5
2026-06-10,G-2004,6768,214,156.74,5
2026-06-11,G-2004,5719,193,132.88,2
2026-06-12,G-2004,4436,162,101.92,2
2026-06-13,G-2004,3350,129,82.04,1
2026-06-14,G-2004,4049,146,94.93,1
2026-06-15,G-2004,5222,187,128.18,2
2026-06-16,G-2004,5819,212,140.68,5
2026-06-17,G-2004,6426,207,150.03,5
2026-06-18,G-2004,5723,185,141.52,6
2026-06-19,G-2004,5146,155,114.93,5
2026-06-20,G-2004,3877,131,86.11,2
2026-06-21,G-2004,4642,177,106.02,4
2026-06-22,G-2004,5585,205,133.95,4
2026-06-23,G-2004,5097,197,131.91,4
2026-06-24,G-2004,5317,190,126.87,5
2026-06-25,G-2004,5919,195,134.0,4
2026-06-26,G-2004,5204,184,121.11,3
2026-06-27,G-2004,4090,137,98.03,3
2026-06-28,G-2004,5235,195,120.99,5
2026-06-29,G-2004,6304,222,149.16,7
2026-06-30,G-2004,5685,193,139.72,5
2026-07-01,G-2004,5623,179,138.08,3
2026-07-02,G-2004,5825,209,142.61,4
2026-07-03,G-2004,5410,193,123.44,6
2026-07-04,G-2004,4177,145,91.88,4
2026-07-05,G-2004,4465,165,101.76,3
2026-07-06,G-2004,5590,193,134.54,3
2026-07-07,G-2004,6365,242,157.1,5
2026-07-08,G-2004,6125,230,155.02,5
2026-07-09,G-2004,5552,200,137.25,3
2026-07-10,G-2004,4908,186,111.88,5
2026-07-11,G-2004,3283,112,82.69,5
2026-07-12,G-2004,3937,135,99.52,5
2026-07-13,G-2004,5160,177,132.37,4
2026-07-14,G-2004,5210,190,127.21,5
2026-07-15,G-2004,6023,219,149.34,4
2026-07-16,G-2004,5514,195,140.33,7
2026-07-17,G-2004,3798,130,101.17,3
2026-07-18,G-2004,3592,119,88.14,2
2026-07-19,G-2004,4549,150,106.55,3
2026-07-20,G-2004,5071,186,133.02,4
2026-07-21,G-2004,5889,214,146.51,5
2026-07-22,G-2004,6077,225,136.44,8
2026-07-23,G-2004,5852,208,132.25,7
2026-07-24,G-2004,4940,174,108.66,5
2026-07-25,G-2004,4417,154,99.58,5
2026-07-26,G-2004,4430,162,100.97,5
2026-07-27,G-2004,5262,179,124.3,5
2026-07-28,G-2004,5164,180,129.37,3
2026-07-29,G-2004,5965,186,134.14,3
2026-07-30,G-2004,6558,210,151.23,3
2026-07-31,G-2004,6061,214,145.35,6
2026-05-01,G-2005,1793,6,42.69,0
2026-05-02,G-2005,1627,5,37.77,0
2026-05-03,G-2005,1723,6,42.57,1
2026-05-04,G-2005,2177,8,50.87,0
2026-05-05,G-2005,2374,9,56.39,0
2026-05-06,G-2005,2340,9,56.09,0
2026-05-07,G-2005,2084,8,52.51,0
2026-05-08,G-2005,2162,7,53.65,0
2026-05-09,G-2005,1702,6,38.58,1
2026-05-10,G-2005,1700,6,39.13,0
2026-05-11,G-2005,2331,8,53.41,0
2026-05-12,G-2005,2265,8,51.04,0
2026-05-13,G-2005,2233,9,53.83,0
2026-05-14,G-2005,2149,8,56.03,0
2026-05-15,G-2005,1945,6,49.73,0
2026-05-16,G-2005,1429,5,34.64,0
2026-05-17,G-2005,1562,5,35.52,0
2026-05-18,G-2005,2153,9,50.29,0
2026-05-19,G-2005,2338,9,56.69,0
2026-05-20,G-2005,2077,7,53.25,0
2026-05-21,G-2005,2184,7,54.32,0
2026-05-22,G-2005,1987,7,45.64,0
2026-05-23,G-2005,1723,7,42.38,0
2026-05-24,G-2005,1720,7,44.84,0
2026-05-25,G-2005,2287,8,56.38,0
2026-05-26,G-2005,2466,8,55.03,0
2026-05-27,G-2005,2553,9,57.86,0
2026-05-28,G-2005,2084,8,49.38,0
2026-05-29,G-2005,1997,7,49.18,0
2026-05-30,G-2005,1569,5,35.23,0
2026-05-31,G-2005,1712,5,40.14,0
2026-06-01,G-2005,2493,9,58.09,0
2026-06-02,G-2005,2484,10,60.63,0
2026-06-03,G-2005,2176,8,55.81,0
2026-06-04,G-2005,2174,8,55.03,0
2026-06-05,G-2005,2155,7,52.71,0
2026-06-06,G-2005,1776,7,41.86,0
2026-06-07,G-2005,1819,7,45.62,0
2026-06-08,G-2005,2077,8,50.93,0
2026-06-09,G-2005,2066,8,51.0,0
2026-06-10,G-2005,2202,8,51.68,0
2026-06-11,G-2005,2127,7,46.98,0
2026-06-12,G-2005,1783,5,40.67,1
2026-06-13,G-2005,1392,5,35.65,0
2026-06-14,G-2005,1541,5,40.17,0
2026-06-15,G-2005,2304,7,56.12,0
2026-06-16,G-2005,2681,10,61.74,0
2026-06-17,G-2005,2758,11,63.26,0
2026-06-18,G-2005,2423,9,55.7,0
2026-06-19,G-2005,1819,7,46.16,0
2026-06-20,G-2005,1514,6,36.4,0
2026-06-21,G-2005,1539,6,37.34,0
2026-06-22,G-2005,2027,7,48.79,0
2026-06-23,G-2005,2519,8,57.83,0
2026-06-24,G-2005,2384,8,57.35,0
2026-06-25,G-2005,2167,7,54.24,0
2026-06-26,G-2005,1747,5,42.71,0
2026-06-27,G-2005,1566,5,36.53,0
2026-06-28,G-2005,1871,7,42.39,0
2026-06-29,G-2005,2050,7,47.27,0
2026-06-30,G-2005,2396,9,55.46,0
2026-07-01,G-2005,2707,10,63.84,0
2026-07-02,G-2005,2322,8,56.86,0
2026-07-03,G-2005,1871,6,43.59,0
2026-07-04,G-2005,1269,5,30.67,0
2026-07-05,G-2005,1636,6,39.47,0
2026-07-06,G-2005,2542,10,56.69,0
2026-07-07,G-2005,2455,9,56.81,0
2026-07-08,G-2005,2540,8,60.94,0
2026-07-09,G-2005,2262,8,51.66,0
2026-07-10,G-2005,1869,6,43.16,0
2026-07-11,G-2005,1473,5,34.04,0
2026-07-12,G-2005,1741,5,41.43,0
2026-07-13,G-2005,2084,7,52.31,0
2026-07-14,G-2005,2300,8,54.05,0
2026-07-15,G-2005,2590,9,62.07,0
2026-07-16,G-2005,2063,8,54.24,0
2026-07-17,G-2005,1721,6,43.35,0
2026-07-18,G-2005,1617,6,37.65,0
2026-07-19,G-2005,1698,6,42.07,0
2026-07-20,G-2005,2133,7,53.4,0
2026-07-21,G-2005,2246,7,54.81,0
2026-07-22,G-2005,2082,8,51.92,0
2026-07-23,G-2005,2036,7,47.6,0
2026-07-24,G-2005,1850,6,45.1,0
2026-07-25,G-2005,1377,4,32.33,0
2026-07-26,G-2005,1691,5,40.67,0
2026-07-27,G-2005,2532,9,57.81,0
2026-07-28,G-2005,2554,8,59.7,0
2026-07-29,G-2005,2455,8,55.42,0
2026-07-30,G-2005,2007,8,46.34,0
2026-07-31,G-2005,1680,7,42.73,0
2026-05-01,G-2006,7670,366,187.07,11
2026-05-02,G-2006,5116,209,129.87,6
2026-05-03,G-2006,6009,257,147.97,5
2026-05-04,G-2006,7457,336,179.72,6
2026-05-05,G-2006,9495,467,212.39,12
2026-05-06,G-2006,10825,497,243.12,12
2026-05-07,G-2006,9244,399,222.41,9
2026-05-08,G-2006,7255,318,181.76,8
2026-05-09,G-2006,5798,230,134.06,8
2026-05-10,G-2006,6303,253,155.59,8
2026-05-11,G-2006,7041,301,182.78,7
2026-05-12,G-2006,7546,317,195.02,8
2026-05-13,G-2006,7982,355,203.07,8
2026-05-14,G-2006,7783,356,192.05,7
2026-05-15,G-2006,6188,247,151.82,4
2026-05-16,G-2006,5123,220,127.22,4
2026-05-17,G-2006,6225,260,145.27,5
2026-05-18,G-2006,8552,360,196.13,6
2026-05-19,G-2006,8717,396,205.23,8
2026-05-20,G-2006,9118,441,233.46,9
2026-05-21,G-2006,8108,360,209.1,7
2026-05-22,G-2006,6497,293,162.16,7
2026-05-23,G-2006,5632,265,135.75,4
2026-05-24,G-2006,6307,301,157.02,2
2026-05-25,G-2006,7596,360,181.55,5
2026-05-26,G-2006,7326,341,187.37,5
2026-05-27,G-2006,7148,309,175.88,7
2026-05-28,G-2006,6950,324,169.65,7
2026-05-29,G-2006,6388,305,162.13,6
2026-05-30,G-2006,6141,291,139.49,6
2026-05-31,G-2006,6228,279,146.37,10
2026-06-01,G-2006,8794,372,211.34,12
2026-06-02,G-2006,10729,482,234.7,12
2026-06-03,G-2006,9790,456,220.77,10
2026-06-04,G-2006,9678,479,230.98,14
2026-06-05,G-2006,7866,396,193.26,12
2026-06-06,G-2006,5325,251,131.45,5
2026-06-07,G-2006,5954,265,139.21,6
2026-06-08,G-2006,8388,391,201.76,10
2026-06-09,G-2006,8814,351,218.05,11
2026-06-10,G-2006,7884,333,199.31,14
2026-06-11,G-2006,8371,412,205.85,11
2026-06-12,G-2006,7080,333,168.37,6
2026-06-13,G-2006,5255,214,135.84,4
2026-06-14,G-2006,6565,289,156.05,8
2026-06-15,G-2006,9283,396,210.1,10
2026-06-16,G-2006,7871,330,193.85,7
2026-06-17,G-2006,8803,406,216.49,10
2026-06-18,G-2006,8483,417,202.51,9
2026-06-19,G-2006,7578,375,185.75,9
2026-06-20,G-2006,5788,278,130.29,7
2026-06-21,G-2006,7548,326,170.69,10
2026-06-22,G-2006,8424,348,195.41,9
2026-06-23,G-2006,7864,313,177.81,7
2026-06-24,G-2006,7646,330,183.16,9
2026-06-25,G-2006,7370,334,180.66,6
2026-06-26,G-2006,6644,293,161.65,4
2026-06-27,G-2006,5447,266,135.92,3
2026-06-28,G-2006,6171,291,143.51,6
2026-06-29,G-2006,8907,443,212.39,9
2026-06-30,G-2006,9566,430,241.28,8
2026-07-01,G-2006,10653,456,242.3,13
2026-07-02,G-2006,9239,428,208.47,9
2026-07-03,G-2006,6184,239,152.01,4
2026-07-04,G-2006,5749,228,140.18,6
2026-07-05,G-2006,8103,334,183.33,10
2026-07-06,G-2006,10127,422,228.54,15
2026-07-07,G-2006,9592,422,226.52,10
2026-07-08,G-2006,8747,419,210.31,6
2026-07-09,G-2006,7853,394,191.29,9
2026-07-10,G-2006,7712,358,186.34,9
2026-07-11,G-2006,6056,240,151.43,4
2026-07-12,G-2006,6216,272,153.32,5
2026-07-13,G-2006,9082,407,212.14,10
2026-07-14,G-2006,9519,442,216.99,9
2026-07-15,G-2006,7530,377,183.55,7
2026-07-16,G-2006,6818,329,176.04,8
2026-07-17,G-2006,6693,307,163.78,8
2026-07-18,G-2006,5328,251,122.08,6
2026-07-19,G-2006,5848,252,139.51,4
2026-07-20,G-2006,7192,353,184.03,7
2026-07-21,G-2006,7679,368,183.34,10
2026-07-22,G-2006,8649,387,206.39,8
2026-07-23,G-2006,8591,396,211.47,8
2026-07-24,G-2006,7480,303,178.99,6
2026-07-25,G-2006,5565,226,134.88,5
2026-07-26,G-2006,6458,268,152.61,9
2026-07-27,G-2006,7529,321,185.46,10
2026-07-28,G-2006,7466,329,181.5,10
2026-07-29,G-2006,7906,344,195.68,9
2026-07-30,G-2006,8788,385,203.75,9
2026-07-31,G-2006,6782,301,170.22,4
2026-05-01,G-2007,10326,191,249.46,1
2026-05-02,G-2007,8520,184,194.09,1
2026-05-03,G-2007,10024,206,232.74,2
2026-05-04,G-2007,12949,254,285.57,3
2026-05-05,G-2007,12478,241,275.78,4
2026-05-06,G-2007,11111,227,260.86,1
2026-05-07,G-2007,9953,202,246.07,1
2026-05-08,G-2007,10994,224,257.34,1
2026-05-09,G-2007,8257,164,196.55,1
2026-05-10,G-2007,9691,202,227.07,2
2026-05-11,G-2007,11541,218,298.05,3
2026-05-12,G-2007,12565,253,322.49,3
2026-05-13,G-2007,12095,240,299.59,3
2026-05-14,G-2007,11115,219,257.06,3
2026-05-15,G-2007,9915,217,229.43,3
2026-05-16,G-2007,7227,139,180.84,1
2026-05-17,G-2007,9132,176,221.55,3
2026-05-18,G-2007,12322,224,277.44,4
2026-05-19,G-2007,13869,251,312.53,4
2026-05-20,G-2007,13161,252,302.66,1
2026-05-21,G-2007,9957,188,244.92,1
2026-05-22,G-2007,9649,169,235.39,3
2026-05-23,G-2007,8236,152,212.99,3
2026-05-24,G-2007,8939,179,212.03,2
2026-05-25,G-2007,12803,273,298.69,3
2026-05-26,G-2007,12936,281,312.57,3
2026-05-27,G-2007,11950,252,278.26,3
2026-05-28,G-2007,11401,235,279.72,2
2026-05-29,G-2007,10889,217,263.48,4
2026-05-30,G-2007,7394,146,185.47,4
2026-05-31,G-2007,9087,193,230.3,3
2026-06-01,G-2007,13325,264,323.77,3
2026-06-02,G-2007,14071,275,336.96,3
2026-06-03,G-2007,11362,210,291.92,2
2026-06-04,G-2007,11391,221,270.37,4
2026-06-05,G-2007,11217,238,252.41,5
2026-06-06,G-2007,7679,148,188.59,1
2026-06-07,G-2007,8722,178,224.73,1
2026-06-08,G-2007,11841,250,282.86,3
2026-06-09,G-2007,14018,306,320.53,5
2026-06-10,G-2007,12832,257,306.36,2
2026-06-11,G-2007,12235,243,291.91,2
2026-06-12,G-2007,10878,246,255.77,3
2026-06-13,G-2007,7753,161,184.56,1
2026-06-14,G-2007,8845,180,204.24,2
2026-06-15,G-2007,11344,229,268.42,3
2026-06-16,G-2007,13783,255,304.4,5
2026-06-17,G-2007,15604,332,346.55,3
2026-06-18,G-2007,13948,307,313.93,3
2026-06-19,G-2007,10733,216,244.52,3
2026-06-20,G-2007,9310,184,225.0,2
2026-06-21,G-2007,10297,229,260.97,2
2026-06-22,G-2007,14003,307,346.11,5
2026-06-23,G-2007,14340,286,329.45,3
